Project Rank,Holder Rank,Address,Reward (sFTMx),Reward ($)
Winner 1,482,0xa28d31dec6659b8011e15c34cfb40cb72f718ff1,12.1172567,7.822900926
Winner 1,483,0xbf26a14cbde411ab9818ef370f5d3676f8b63fa3,12.1172567,7.822900926
Winner 1,484,0xa13c2def62c36697407fbe7d574e946bf60d7350,12.1172567,7.822900926
Winner 1,485,0xb8829168d3d3269bbd32acd313ac916e2c79695d,12.1172567,7.822900926
Winner 1,486,0x2cd525828bdbd098295535b028ed226247ae5f97,12.1172567,7.822900926
Winner 1,487,0xea44fae3f14f1a2a25cd93194ee279cb0af9f528,12.1172567,7.822900926
Winner 1,488,0x5b94f066d207f9a087610ff8b5c490521cfafba5,12.1172567,7.822900926
Winner 1,489,0xb49bd10fbd9fb1671c2394892c7e3b68df29e7f9,12.1172567,7.822900926
Winner 1,490,0x502a5ff7d4e4f4c9f01d483b5291ec62ea588a2f,12.1172567,7.822900926
Winner 1,491,0x52c36924934164914c9ef59a6841d848cb3a5ecd,12.1172567,7.822900926
Winner 1,492,0x2ea2ce595bd68a0cd1fd34b06df98970952fe4d2,12.1172567,7.822900926
Winner 1,493,0xf795cf41e2eb0dbd0afbb968d4696bb20a1b2a1c,12.1172567,7.822900926
Winner 1,494,0xcfa9acb621c528e85d04da074299f87c99fbee6d,12.1172567,7.822900926
Winner 1,495,0x538cb3b975b0d9292702a55f9184ea8b3c749d41,12.1172567,7.822900926
Winner 1,496,0xd3b7949c45780ba6e8e59e8f0a05af26d12c41ba,12.1172567,7.822900926
Winner 1,497,0x5ead105c15fdf651647fbc32888a717258666067,12.1172567,7.822900926
Winner 1,498,0x6fb737d1ebb73cda6cfa36fd16d9273065d1b084,12.1172567,7.822900926
Winner 1,499,0x3c7ac2ff76a1b4dcb2b69b1121fef5fb8dcdec43,12.1172567,7.822900926
Winner 1,500,0x463a5658226f9451a59624d435ce27cb24c5ad0b,12.1172567,7.822900926
Winner 1,501,0x1fba14edae53deab89770c8c9a8bae8309b407bb,12.1172567,7.822900926
Winner 1,502,0x2acc65547170acb107f6beec338a26a5f92be762,12.1172567,7.822900926
Winner 1,503,0xa1973d6da38ee15197f67e4bc48479322326403c,12.1172567,7.822900926
Winner 1,504,0x432e0abad14b4559347fdf685069de74476aa7e8,12.1172567,7.822900926
Winner 1,505,0x47045d1ee924ad6ff890ce8b52d6c1f08ad42235,12.1172567,7.822900926
Winner 1,506,0x70dbb48e84962920a8778cdc8b19d3360e63937f,12.1172567,7.822900926
Winner 1,507,0x5044eef7d08197f96e6e584a60bf830fc1281014,12.1172567,7.822900926
Winner 1,508,0x1ac0b58da123a4335294cae0bd444e0bd9241a27,12.1172567,7.822900926
Winner 1,509,0x1290037fb5fe15a43cefeca40b2741a859f0c7c9,12.1172567,7.822900926
